game_id,play_id,pass_result,target_nfl_id,route,pen_idx,pen,pen_team,pen_jersey_number,pen_nfl_id,pen_display_name,pen_position,target_display_name,target_jersey_number,target_team,target_position,wp,wpa,epa
2018092700,1268,C,2495331,CROSS,1,DPI,LA,37,1037374,Sam Shields,CB,Aldrick Robinson,17,MIN,WR,0.4426988363265991,0.06821894645690918,2.3243724623462185
2018100705,1968,C,2561018,GO,1,DPI,KC,20,2552265,Steven Nelson,CB,D.J. Chark,17,JAX,WR,0.03853316977620125,0.024719756096601486,2.3068007361143827
2018101412,3359,C,2530515,GO,1,DPI,KC,23,2555349,Kendall Fuller,CB,Chris Hogan,15,NE,WR,0.38155627250671387,0.2459389567375183,2.8967254949966446
2018102800,2806,C,2543500,POST,1,DPI,JAX,41,2561340,Tre Herndon,CB,Jordan Matthews,80,PHI,WR,0.6190797686576843,0.10843402147293091,2.310406639240682
2018102807,2870,C,2560988,CROSS,1,DPI,PIT,24,2532946,Coty Sensabaugh,CB,Antonio Callaway,11,CLE,WR,0.27804917097091675,-0.0025502443313598633,0.6213089716911782
2018102806,785,C,2543496,GO,1,DPI,WAS,37,2560886,Greg Stroman,DB,NA,NA,NA,NA,0.3159145414829254,0.1126314103603363,4.621003186097369
2018102806,946,C,2555343,POST,1,DH,NYG,20,2532875,Janoris Jenkins,CB,Josh Doctson,18,WAS,WR,0.6611533164978027,0.012593567371368408,1.1281592510640621
2018102806,946,C,2555343,POST,2,DPI,NYG,20,2532875,Janoris Jenkins,CB,Josh Doctson,18,WAS,WR,0.6611533164978027,0.012593567371368408,1.1281592510640621
2018102803,4385,C,2543468,GO,1,DPI,CIN,22,2556367,William Jackson,CB,Mike Evans,13,TB,WR,0.09469088912010193,0.026472829282283783,1.6538723247940652
2018102811,192,C,2556370,POST,1,DPI,MIN,22,2532948,Harrison Smith,FS,Michael Thomas,13,NO,WR,0.4760405123233795,0.11913534998893738,3.20231411466375
2018110405,2672,C,2495438,POST,1,DPI,DET,31,2557955,Teez Tabor,CB,Kyle Rudolph,82,MIN,TE,0.9049896597862244,0.04603004455566406,2.9762503365054727
