"gameId","playId","targetNflId"
2018090600,75,2495454
2018090600,146,2560854
2018090600,168,2543583
2018090600,190,2495454
2018090600,256,2543583
2018090600,320,2552600
2018090600,344,2506467
2018090600,402,2533040
2018090600,492,2552453
2018090600,521,2555415
2018090600,545,NA
2018090600,636,2555415
2018090600,752,2552600
2018090600,776,2532842
2018090600,839,2532842
2018090600,889,2495454
2018090600,949,2543583
2018090600,992,2552600
2018090600,1037,2552600
2018090600,1061,2552600
2018090600,1085,2553502
2018090600,1202,2506467
2018090600,1295,2560995
2018090600,1344,2540158
2018090600,1423,2495454
2018090600,1473,2533040
2018090600,1546,2533040
2018090600,1568,310
2018090600,1628,2506467
2018090600,1680,2552600
2018090600,1750,2540158
2018090600,1779,2506467
2018090600,1801,2540158
2018090600,1869,2495454
2018090600,1894,2560854
2018090600,1916,2543583
2018090600,1940,2495454
2018090600,2055,2507763
2018090600,2094,2507763
2018090600,2116,2506467
2018090600,2260,2540158
2018090600,2360,2552600
2018090600,2382,2552600
2018090600,2450,2495454
2018090600,2474,2495454
2018090600,2503,NA
2018090600,2575,2495454
2018090600,2624,2560995
2018090600,2648,2540158
2018090600,2693,2552600
2018090600,2736,2532842
2018090600,2764,2540158
2018090600,2811,2540158
2018090600,2980,2555415
2018090600,3004,2495454
2018090600,3066,2540158
2018090600,3095,2540158
2018090600,3181,2495454
2018090600,3203,2558023
2018090600,3257,2495454
2018090600,3279,2533040
2018090600,3392,2495454
2018090600,3481,2560995
2018090600,3507,2495454
2018090600,3678,2540158
2018090600,3791,2533040
2018090600,3815,310
2018090600,3844,2543583
2018090600,3904,2552600
2018090600,3928,2507763
2018090600,3950,2506467
2018090600,3979,2506467
2018090600,4142,2555415
2018090600,4166,2495454
2018090600,4207,2552453
2018090600,4239,310
2018090600,4258,2495454
2018090600,4282,2495454
2018090600,4306,310
2018090600,4325,2533040
2018090600,4366,NA
2018090600,4395,2495454
2018090600,4417,NA
2018090600,4472,2495454
2018090901,72,2557978
2018090901,96,2508061
2018090901,157,2557986
2018090901,248,2557986
2018090901,291,2543488
2018090901,339,2557978
2018090901,405,2557960
2018090901,439,2558149
2018090901,493,2495240
2018090901,523,2543743
2018090901,566,2552461
2018090901,613,2540151
2018090901,635,2540151
2018090901,680,2558149
2018090901,704,2508061
2018090901,865,2543743
2018090901,854,2543488
2018090901,977,2552633
2018090901,1021,2506109
2018090901,1112,2552633
2018090901,1136,2508061
2018090901,1177,2557978
2018090901,1306,2543488
2018090901,1330,NA
2018090901,1452,2543488
2018090901,1516,2508061
2018090901,1563,2540928
2018090901,1682,2495240
2018090901,1742,2508061
2018090901,1766,2557978
2018090901,1849,2558149
2018090901,1890,2508061
2018090901,1912,2552633
2018090901,1976,2495240
2018090901,2055,2495240
2018090901,2324,2558149
2018090901,2448,2508061
2018090901,2522,2557986
2018090901,2570,2543488
2018090901,2613,2495240
2018090901,2757,2552461
2018090901,2800,2543488
2018090901,2841,2537931
2018090901,2863,2557986
2018090901,2885,2557986
2018090901,2972,2540151
2018090901,3038,2508061
2018090901,3079,2558149
2018090901,3143,2558149
2018090901,3267,2543488
2018090901,3295,2495240
2018090901,3325,2557986
2018090901,3441,2508061
2018090901,3482,2552461
2018090901,3552,2543488
2018090901,3600,2555468
2018090901,3622,2560988
2018090901,3644,2552461
2018090901,3718,2543488
