"week","time","x","y","s","a","dis","o","dir","event","nfl_id","display_name","jersey_number","position","frame_id","team","game_id","play_id","play_direction","route","target_nfl_id","target_display_name","play_description","quarter","down","yards_to_go","possession_team","play_type","yardline_side","yardline_number","offense_formation","personnel_o","defenders_in_the_box","number_of_pass_rushers","personnel_d","type_dropback","pre_snap_visitor_score","pre_snap_home_score","game_clock","absolute_yardline_number","pen_1","pen_2","pen_3","pen_team_1","pen_jersey_1","pen_team_2","pen_jersey_2","pen_team_3","pen_jersey_3","pass_result","offense_play_result","play_result","epa","is_defensive_pi"
"week1",2018-09-07 01:07:14,91.73,26.67,0,0.01,0.02,289.57,240.93,"None",310,"Matt Ryan",2,"QB",1,"away",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,88.89,36.47,0.01,0.01,0.01,105.63,66.66,"None",79848,"Malcolm Jenkins",27,"SS",1,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,91.35,44.16,0.02,0.03,0.01,290.45,16.86,"None",2495454,"Julio Jones",11,"WR",1,"away",2018090600,75,"left","HITCH",2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,86.31,22.01,0.09,0.42,0.01,70.12,168.91,"None",2495613,"Corey Graham",24,"FS",1,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,90.78,36.15,0,0,0,257.61,193.97,"None",2533040,"Mohamed Sanu",12,"WR",1,"away",2018090600,75,"left","HITCH",2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,73.64,28.7,0.03,0.02,0.01,103.05,219.41,"None",2534832,"Rodney McLeod",23,"FS",1,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,98.25,26.63,0.01,0.01,0,265.88,194.51,"None",2543583,"Devonta Freeman",24,"RB",1,"away",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,86.48,31.12,0.09,0.03,0.04,95.9,33.36,"None",2552315,"Jordan Hicks",58,"MLB",1,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,82.67,20.53,0.03,0.07,0.01,81.14,174.57,"None",2552689,"Ronald Darby",21,"CB",1,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,84,43.49,0.14,0.05,0.01,108.23,110.32,"None",2555383,"Jalen Mills",31,"CB",1,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,91.29,21.83,0.01,0.02,0.01,250.34,151.83,"None",2555415,"Austin Hooper",81,"TE",1,"away",2018090600,75,"left","OUT",2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,85.63,26.59,0.03,0.04,0.02,87.69,38.8,"None",2558175,"Nate Gerry",47,"LB",1,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,95.13,26.71,0.01,0.01,0.01,250.1,237.27,"None",2559033,"Ricky Ortiz",30,"FB",1,"away",2018090600,75,"left","FLAT",2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,90.11,26.85,0,0,0,NA,NA,"None",NA,"Football",NA,NA,1,"football",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,91.73,26.67,0,0,0,289.57,239.89,"None",310,"Matt Ryan",2,"QB",2,"away",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,88.89,36.47,0.01,0.01,0,105.63,68.49,"None",79848,"Malcolm Jenkins",27,"SS",2,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,91.37,44.17,0.03,0.03,0.02,290.45,29.61,"None",2495454,"Julio Jones",11,"WR",2,"away",2018090600,75,"left","HITCH",2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,86.32,22,0.1,0.58,0.01,70.88,119.04,"None",2495613,"Corey Graham",24,"FS",2,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,90.78,36.15,0,0,0,257.61,190.84,"None",2533040,"Mohamed Sanu",12,"WR",2,"away",2018090600,75,"left","HITCH",2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,73.64,28.7,0.03,0.02,0.01,104.57,228.17,"None",2534832,"Rodney McLeod",23,"FS",2,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,98.25,26.63,0.01,0.01,0,265.88,194.52,"None",2543583,"Devonta Freeman",24,"RB",2,"away",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,86.48,31.11,0.07,0.03,0,101.1,30.26,"None",2552315,"Jordan Hicks",58,"MLB",2,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,82.68,20.53,0.04,0.05,0.01,82.24,147.46,"None",2552689,"Ronald Darby",21,"CB",2,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
"week1",2018-09-07 01:07:14,84.02,43.49,0.14,0.07,0.01,107.33,106.73,"None",2555383,"Jalen Mills",31,"CB",2,"home",2018090600,75,"left",NA,2495454,"Julio Jones","(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).",1,1,15,"ATL","play_type_pass","ATL",20,"I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,0,15:00:00,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",10,10,0.261827272178674,FALSE
